elo.diff;outcome
28.6;1
-95.8;0
-121.6;0
64.6;0
5.39999999999998;1
-50.4000000000001;1
1.40000000000009;1
-18.6;0
-123.8;0
-54.6;1
-8.60000000000002;1
119;1
64.5999999999999;1
-149.8;1
93.8000000000001;1
-113.6;0
139.8;1
142;0
20.8000000000002;1
-10.2;0
-48.5999999999999;0
128;1
39.5999999999999;1
121.8;1
80.4000000000001;1
88;1
-88;1
110.2;1
-18.2;0
31.4;0
-147.8;1
91.8000000000001;1
-10.6;1
-29.4;1
14.2;0
104;1
44.9999999999999;0
-54.2;0
12.6;0
6.19999999999993;0
-27.4;0
36.4;1
119.8;1
2.60000000000014;0
-44.6;0
22.6;0
-63.4;1
-44.2;1
18.6000000000001;1
-35.8000000000001;1
-17.4;1
22.4;1
-85.8;0
117.8;1
-118;0
-145.8;1
-91.8000000000001;1
-24.6;1
-2.79999999999995;1
-42.2;0
-49;1
89.2;1
62;0
-282.6;0
-58.8;0
-115.8;1
174;0
41.8000000000001;1
-75.8000000000001;0
63.3999999999999;0
-105.8;0
133.8;0
74.8;0
165.4;0
-31;1
-52.8;1
-141.4;0
-130.4;1
56.4;1
-254.6;1
79.8000000000001;1
72.8000000000001;1
-17.4;1
-19.6;0
46.6;0
-77;0
-24.4;0
-12.3999999999999;0
-60.2;1
-24.6;1
109.8;0
-17.4;0
53;0
26.2;0
-60;0
17;1
57.8000000000001;1
-53.4;1
-7.39999999999998;1
32.6;1
25.8;1
-306.4;0
-60.0000000000001;1
-110.4;0
-79.8;0
94.2;0
-89.2;1
-115.4;0
1.40000000000009;1
0.200000000000045;1
105.6;1
-226.4;0
-110.8;1
94.4000000000001;1
78.4000000000001;0
-117.6;0
-47.3999999999999;1
-157.8;0
59.4000000000001;1
380.6;1
27.1999999999999;0
214.8;1
-132;0
-54.4;1
77.6;1
62.5999999999999;1
-324.2;0
92.1999999999999;0
33.2;1
-100;0
128.4;1
38.8;1
48;0
-82.2;0
41.2;0
62.5999999999999;0
0.600000000000023;1
216.2;1
-8;1
223.2;1
-107;0
70.4000000000001;1
-48.6;0
157.4;1
48;0
-1;0
95.6000000000001;1
76.8;1
58.2;1
83.6000000000001;0
73.3999999999999;0
-128.4;0
-50.4;0
-30.4000000000001;1
-265;1
5.79999999999995;1
22;1
79.3999999999999;0
-70;0
-29.1999999999998;0
-14.6;0
-222.6;0
3.60000000000014;1
-42.5999999999999;1
-365.2;0
-113.6;0
-42.6;0
-6.79999999999995;1
-24.8000000000001;1
-255.2;0
57.8;1
-38;0
373.6;1
-67.1999999999999;1
109;1
-308;0
-235.4;1
-73.4;1
57;0
-205.4;0
-93.8;0
101.6;1
60.8;1
49.6000000000001;0
-20.2;1
56.8000000000001;1
32.6000000000001;1
-26.3999999999999;1
-4.79999999999995;1
