elo.diff;outcome
-489;0
-167.6;1
-43.8;1
12;1
-33.1999999999999;0
126.2;1
16.8;1
45.4;1
-117.4;0
-25.8;0
-10.2;0
81.6;1
